url,cn_name,en_name,birth_date,height,country
http://p8srnd1i0.bkt.clouddn.com/football_star_img_v2/Yasuyuki Konno+nan+178CM/q37.png,今野泰幸,Yasuyuki Konno,,178CM,日本
http://p8srnd1i0.bkt.clouddn.com/football_star_img_v2/Eiji Kawashima+1983-03-20+185CM/q38.png,川岛永嗣,Eiji Kawashima,1983-03-20,185CM,日本
http://p8srnd1i0.bkt.clouddn.com/football_star_img_v2/Shusaku Nishikawa+nan+183CM/q39.png,西川周作,Shusaku Nishikawa,,183CM,日本
http://p8srnd1i0.bkt.clouddn.com/football_star_img_v2/Masaaki Higashiguchi+1986-05-12+184CM/q40.png,东口顺昭,Masaaki Higashiguchi,1986-05-12,184CM,日本
http://p8srnd1i0.bkt.clouddn.com/football_star_img_v2/Javier Hernandez Balcazar+nan+175CM/q41.png,哈维尔·埃尔,Javier Hernandez Balcazar,,175CM,墨西哥
http://p8srnd1i0.bkt.clouddn.com/football_star_img_v2/Javier Aquino+nan+168CM/q42.png,阿基诺,Javier Aquino,,168CM,墨西哥
http://p8srnd1i0.bkt.clouddn.com/football_star_img_v2/Raúl Alonso Jiménez Rodríguez+nan+187CM/q43.png,劳尔·希门尼,Raúl Alonso Jiménez Rodríguez,,187CM,墨西哥
http://p8srnd1i0.bkt.clouddn.com/football_star_img_v2/Oribe Peralta+1984-01-12+180CM/q44.png,奥里比·佩拉,Oribe Peralta,1984-01-12,180CM,墨西哥
http://p8srnd1i0.bkt.clouddn.com/football_star_img_v2/Hirving Rodrigo Lozano Bahena +nan+175CM/q45.png,洛扎诺,Hirving Rodrigo Lozano Bahena ,,175CM,墨西哥
http://p8srnd1i0.bkt.clouddn.com/football_star_img_v2/Diego Reyes+1992-09-19+189CM/q46.png,雷耶斯,Diego Reyes,1992-09-19,189CM,墨西哥
http://p8srnd1i0.bkt.clouddn.com/football_star_img_v2/Miguel Layún+1988-06-25+179CM/q47.png,米格尔·拉云,Miguel Layún,1988-06-25,179CM,墨西哥
http://p8srnd1i0.bkt.clouddn.com/football_star_img_v2/Andrés Guardado+1986-09-28+169CM/q48.png,瓜尔达多,Andrés Guardado,1986-09-28,169CM,墨西哥
http://p8srnd1i0.bkt.clouddn.com/football_star_img_v2/Héctor Herrera+1990-04-19+180CM/q49.png,埃克托·埃雷,Héctor Herrera,1990-04-19,180CM,墨西哥
http://p8srnd1i0.bkt.clouddn.com/football_star_img_v2/Jesús Manuel Corona+1993-01-06+173CM/q50.png,赫苏斯·科洛,Jesús Manuel Corona,1993-01-06,173CM,墨西哥
http://p8srnd1i0.bkt.clouddn.com/football_star_img_v2/Carlos Pea+nan+175CM/q51.png,卡洛斯·佩尼,Carlos Pea,,175CM,墨西哥
http://p8srnd1i0.bkt.clouddn.com/football_star_img_v2/Jesús Molina+1988-03-29+183CM/q52.png,赫苏斯·莫里,Jesús Molina,1988-03-29,183CM,墨西哥
http://p8srnd1i0.bkt.clouddn.com/football_star_img_v2/Néstor Araújo+1991-08-29+188CM/q53.png,内斯托·阿劳,Néstor Araújo,1991-08-29,188CM,墨西哥
http://p8srnd1i0.bkt.clouddn.com/football_star_img_v2/Héctor Moreno+1988-01-17+183CM/q54.png,埃克托·莫雷,Héctor Moreno,1988-01-17,183CM,墨西哥
http://p8srnd1i0.bkt.clouddn.com/football_star_img_v2/Rafael Márquez+nan+185CM/q55.png,拉法埃尔·马,Rafael Márquez,,185CM,墨西哥
http://p8srnd1i0.bkt.clouddn.com/football_star_img_v2/Paul Aguilar+nan+177CM/q56.png,保罗·阿吉拉,Paul Aguilar,,177CM,墨西哥
http://p8srnd1i0.bkt.clouddn.com/football_star_img_v2/Jorge Emmanuel Torres Nilo +nan+180CM/q57.png,若热·托雷斯,Jorge Emmanuel Torres Nilo ,,180CM,墨西哥
http://p8srnd1i0.bkt.clouddn.com/football_star_img_v2/Alfredo Talavera Diaz +nan+188CM/q58.png,阿尔弗雷多·,Alfredo Talavera Diaz ,,188CM,墨西哥
http://p8srnd1i0.bkt.clouddn.com/football_star_img_v2/Jose de Jesús Corona +nan+184CM/q59.png,何塞·科洛纳,Jose de Jesús Corona ,,184CM,墨西哥
http://p8srnd1i0.bkt.clouddn.com/football_star_img_v2/Guillermo Ochoa+1985-07-13+185CM/q60.png,吉列尔莫·奥,Guillermo Ochoa,1985-07-13,185CM,墨西哥
http://p8srnd1i0.bkt.clouddn.com/football_star_img_v2/Haris Seferovic+1992-02-22+185CM/q61.png,塞费罗维奇,Haris Seferovic,1992-02-22,185CM,瑞士
http://p8srnd1i0.bkt.clouddn.com/football_star_img_v2/Breel Embolo+1997-02-14+185CM/q62.png,恩博洛,Breel Embolo,1997-02-14,185CM,瑞士
http://p8srnd1i0.bkt.clouddn.com/football_star_img_v2/Admir Mehmedi+nan+183CM/q63.png,迈赫迈迪,Admir Mehmedi,,183CM,瑞士
http://p8srnd1i0.bkt.clouddn.com/football_star_img_v2/Granit Xhaka+1992-09-27+185CM/q64.png,扎卡,Granit Xhaka,1992-09-27,185CM,瑞士
http://p8srnd1i0.bkt.clouddn.com/football_star_img_v2/Xherdan Shaqiri+nan+169CM/q65.png,沙奇里,Xherdan Shaqiri,,169CM,瑞士
http://p8srnd1i0.bkt.clouddn.com/football_star_img_v2/Blerim Dzemaili+1986-04-12+179CM/q66.png,哲马伊利,Blerim Dzemaili,1986-04-12,179CM,瑞士
http://p8srnd1i0.bkt.clouddn.com/football_star_img_v2/Valon Behrami+1985-04-19+185CM/q67.png,贝赫拉米,Valon Behrami,1985-04-19,185CM,瑞士
http://p8srnd1i0.bkt.clouddn.com/football_star_img_v2/Denis Zakaria+nan+191CM/q68.png,拉多,Denis Zakaria,,191CM,瑞士
http://p8srnd1i0.bkt.clouddn.com/football_star_img_v2/Gelson Fernandes+1986-09-02+179CM/q69.png,费尔南德斯,Gelson Fernandes,1986-09-02,179CM,瑞士
http://p8srnd1i0.bkt.clouddn.com/football_star_img_v2/Gkhan Inler+nan+183CM/q70.png,因勒,Gkhan Inler,,183CM,瑞士
http://p8srnd1i0.bkt.clouddn.com/football_star_img_v2/Fabian Frei+1989-01-08+183CM/q71.png,弗雷,Fabian Frei,1989-01-08,183CM,瑞士
http://p8srnd1i0.bkt.clouddn.com/football_star_img_v2/Shani Tarashaj+nan+176CM/q72.png,塔拉沙伊,Shani Tarashaj,,176CM,瑞士
http://p8srnd1i0.bkt.clouddn.com/football_star_img_v2/Fabian Schr+nan+188CM/q73.png,沙尔,Fabian Schr,,188CM,瑞士
http://p8srnd1i0.bkt.clouddn.com/football_star_img_v2/Ricardo Rodríguez+1992-08-25+181CM/q74.png,罗德里格斯,Ricardo Rodríguez,1992-08-25,181CM,瑞士
http://p8srnd1i0.bkt.clouddn.com/football_star_img_v2/Steve Von Bergen+nan+182CM/q75.png,冯贝尔根,Steve Von Bergen,,182CM,瑞士
http://p8srnd1i0.bkt.clouddn.com/football_star_img_v2/Stephan Lichtsteiner+1984-01-16+182CM/q76.png,利希施泰纳,Stephan Lichtsteiner,1984-01-16,182CM,瑞士
http://p8srnd1i0.bkt.clouddn.com/football_star_img_v2/Franois Moubandje+nan+180CM/q77.png,穆班杰,Franois Moubandje,,180CM,瑞士
http://p8srnd1i0.bkt.clouddn.com/football_star_img_v2/Nico Elvedi+1996-09-30+188CM/q78.png,埃尔维迪,Nico Elvedi,1996-09-30,188CM,瑞士
http://p8srnd1i0.bkt.clouddn.com/football_star_img_v2/Michael Lang+1991-02-08+185CM/q79.png,朗,Michael Lang,1991-02-08,185CM,瑞士
http://p8srnd1i0.bkt.clouddn.com/football_star_img_v2/Johan Djourou+nan+191CM/q80.png,朱鲁,Johan Djourou,,191CM,瑞士
http://p8srnd1i0.bkt.clouddn.com/football_star_img_v2/Marwin Hitz+1987-09-18+193CM/q81.png,希茨,Marwin Hitz,1987-09-18,193CM,瑞士
http://p8srnd1i0.bkt.clouddn.com/football_star_img_v2/Roman Bürki+1990-11-14+187CM/q82.png,布尔基,Roman Bürki,1990-11-14,187CM,瑞士
http://p8srnd1i0.bkt.clouddn.com/football_star_img_v2/Yann Sommer+1988-12-17+183CM/q83.png,索默,Yann Sommer,1988-12-17,183CM,瑞士
http://p8srnd1i0.bkt.clouddn.com/football_star_img_v2/Eden Hazard+1991-01-07+173CM/q84.png,阿扎尔,Eden Hazard,1991-01-07,173CM,比利时
http://p8srnd1i0.bkt.clouddn.com/football_star_img_v2/Christian Benteke+nan+190CM/q85.png,本泰克,Christian Benteke,,190CM,比利时
http://p8srnd1i0.bkt.clouddn.com/football_star_img_v2/Kevin De Bruyne+1991-06-28+181CM/q86.png,德布劳内,Kevin De Bruyne,1991-06-28,181CM,比利时
http://p8srnd1i0.bkt.clouddn.com/football_star_img_v2/Romelu Lukaku+1993-05-13+190CM/q87.png,卢卡库,Romelu Lukaku,1993-05-13,190CM,比利时
http://p8srnd1i0.bkt.clouddn.com/football_star_img_v2/Yannick Ferreira-Carrasco+nan+181CM/q88.png,卡拉斯科,Yannick Ferreira-Carrasco,,181CM,比利时
http://p8srnd1i0.bkt.clouddn.com/football_star_img_v2/Michy Batshuayi+1993-10-02+185CM/q89.png,巴舒亚伊,Michy Batshuayi,1993-10-02,185CM,比利时
http://p8srnd1i0.bkt.clouddn.com/football_star_img_v2/Dries Mertens+1987-05-06+169CM/q90.png,默滕斯,Dries Mertens,1987-05-06,169CM,比利时
http://p8srnd1i0.bkt.clouddn.com/football_star_img_v2/Divock Origi+1995-04-18+185CM/q91.png,奥利吉,Divock Origi,1995-04-18,185CM,比利时
http://p8srnd1i0.bkt.clouddn.com/football_star_img_v2/Moussa Dembele+nan+185CM/q92.png,登贝莱,Moussa Dembele,,185CM,比利时
http://p8srnd1i0.bkt.clouddn.com/football_star_img_v2/Marouane Fellaini+1987-11-22+194CM/q93.png,费莱尼,Marouane Fellaini,1987-11-22,194CM,比利时
http://p8srnd1i0.bkt.clouddn.com/football_star_img_v2/Radja Nainggolan+1988-05-04+176CM/q94.png,纳因戈兰,Radja Nainggolan,1988-05-04,176CM,比利时
http://p8srnd1i0.bkt.clouddn.com/football_star_img_v2/Axel Witsel+1989-01-12+186CM/q95.png,维特塞尔,Axel Witsel,1989-01-12,186CM,比利时
http://p8srnd1i0.bkt.clouddn.com/football_star_img_v2/Toby Alderweireld+1989-03-02+186CM/q96.png,阿尔德韦雷尔,Toby Alderweireld,1989-03-02,186CM,比利时
http://p8srnd1i0.bkt.clouddn.com/football_star_img_v2/Thomas Vermaelen+1985-11-14+183CM/q97.png,维尔马伦,Thomas Vermaelen,1985-11-14,183CM,比利时
http://p8srnd1i0.bkt.clouddn.com/football_star_img_v2/Jan Vertonghen+1987-04-24+189CM/q98.png,维尔通亨,Jan Vertonghen,1987-04-24,189CM,比利时
http://p8srnd1i0.bkt.clouddn.com/football_star_img_v2/Jordan Zacharie Lukaku Menama+nan+177CM/q99.png,卢卡库,Jordan Zacharie Lukaku Menama,,177CM,比利时
http://p8srnd1i0.bkt.clouddn.com/football_star_img_v2/Thomas Meunier+1991-09-12+190CM/q100.png,穆尼耶,Thomas Meunier,1991-09-12,190CM,比利时
http://p8srnd1i0.bkt.clouddn.com/football_star_img_v2/Laurent Ciman+1985-08-05+182CM/q101.png,希曼,Laurent Ciman,1985-08-05,182CM,比利时
http://p8srnd1i0.bkt.clouddn.com/football_star_img_v2/Christian Kabasele+nan+188CM/q102.png,卡巴瑟勒,Christian Kabasele,,188CM,比利时
http://p8srnd1i0.bkt.clouddn.com/football_star_img_v2/Simon Mignolet+1988-03-06+193CM/q103.png,米尼奥莱,Simon Mignolet,1988-03-06,193CM,比利时
http://p8srnd1i0.bkt.clouddn.com/football_star_img_v2/Jean-Franois Gillet+nan+180CM/q104.png,吉莱,Jean-Franois Gillet,,180CM,比利时
http://p8srnd1i0.bkt.clouddn.com/football_star_img_v2/Thibaut Courtois+nan+199CM/q105.png,库尔图瓦,Thibaut Courtois,,199CM,比利时
http://p8srnd1i0.bkt.clouddn.com/football_star_img_v2/lvaro Saborio+nan+183CM/q106.png,萨沃里奥,lvaro Saborio,,183CM,哥斯达黎加
http://p8srnd1i0.bkt.clouddn.com/football_star_img_v2/Bryan Ruiz+1985-08-18+186CM/q107.png,布莱恩·鲁伊,Bryan Ruiz,1985-08-18,186CM,哥斯达黎加
http://p8srnd1i0.bkt.clouddn.com/football_star_img_v2/Celso Borges+1988-05-27+182CM/q108.png,博格斯,Celso Borges,1988-05-27,182CM,哥斯达黎加
